Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,Water Intensive (based on Etp)
892.7517109,7.6,Class1,31,287,344,68,0.126172476,0.527250092,217,Ong,1313,0.900919458,0.423289214,1,6243,7324,IRRIGATED,2018,1
1103.496369,9.4,Class4,34,302,358,82,0.126172476,0.527250092,218,Ong,1342,0.928542744,0.493141234,1,6380,7342,IRRIGATED,2018,1
5051,43,Paddy,2,289,346,71,0.126172476,0.527250092,216,Ong,1265,0.954352676,0.414199994,1,6299,7355,IRRIGATED,2018,1
493.7683326,4.7,Class1,31,222,262,23,0.040802421,0.38562956,194,Ong,52,0.910558928,0.908988659,2,5782,8449,IRRIGATED,2018,0
5992.479131,57.5,Paddy,2,228,272,32,0.040802421,0.38562956,194,Ong,51,0.954413654,0.917887444,2,6299,8955,IRRIGATED,2018,0
1027.586272,9.9,Class4,34,263,336,34,0.040802421,0.38562956,224,Ong,57,0.923935753,0.909440582,2,7535,10404,IRRIGATED,2018,1
3005.392755,23.2,Paddy,2,210,264,25,0.042562362,0.543026314,181,Ong,93,0.936646372,0.933074208,2,6266,9047,IRRIGATED,2019,0
486.0436742,3.8,Class1,31,223,320,22,0.042562362,0.543026314,195,Ong,93,0.925152601,0.902502552,2,6349,9465,IRRIGATED,2019,1
4306.167609,33.3,Class4,34,266,334,34,0.042562362,0.543026314,227,Ong,98,0.9284987,0.853654285,2,7819,10165,IRRIGATED,2019,1
2055.488663,15.4,Paddy,2,238,318,47,0.193306122,0.891361146,188,Ong,1140,0.934938835,0.325835692,1,4178,5505,IRRIGATED,2019,1
804.6481968,6,Class1,31,235,296,45,0.193306122,0.891361146,187,Ong,1172,0.919275362,0.352327972,1,4175,5169,IRRIGATED,2019,0
3808.66131,28.6,Class4,34,252,336,58,0.193306122,0.891361146,190,Ong,1225,0.930956747,0.363609578,1,4294,5568,IRRIGATED,2019,1
3757.602625,39.1,Paddy,2,221,276,25,0.042734244,0.442410385,192,Ong,94,0.948697382,0.922534361,2,5201,7166,IRRIGATED,2020,0
440.4639358,4.6,Class1,31,246,286,24,0.042734244,0.442410385,216,Ong,93,0.903126931,0.902761469,2,5737,7741,IRRIGATED,2020,0
364.7680162,3.8,Class4,34,285,362,33,0.042734244,0.442410385,247,Ong,102,0.922761567,0.896320628,2,6758,8977,IRRIGATED,2020,1
2233.227108,21.3,Paddy,2,288,368,70,0.142510962,0.485414821,221,Ong,1312,0.948586775,0.535669608,1,4441,6090,IRRIGATED,2020,1
573.6098743,5.5,Class1,31,321,384,91,0.142510962,0.485414821,233,Ong,1426,0.897888551,0.54220803,1,4863,6207,IRRIGATED,2020,1
348.2543414,3.3,Class4,34,321,382,93,0.142510962,0.485414821,236,Ong,1460,0.920590147,0.626136297,1,4788,6114,IRRIGATED,2020,1
641.3586188,7.2,Class1,31,220,288,57,0.212501624,0.658314153,165,Ong,936,0.904063163,0.359477497,1,3775,4904,IRRIGATED,2021,0
2884.302691,32.5,Paddy,2,216,284,55,0.212501624,0.658314153,164,Ong,900,0.944301961,0.391625438,1,3727,5011,IRRIGATED,2021,0
465.1064152,5.2,Class4,34,250,316,79,0.212501624,0.658314153,170,Ong,1077,0.934670801,0.384683147,1,4091,5171,IRRIGATED,2021,1
4563.986231,53.2,Paddy,2,230,286,31,0.043937358,0.424790395,195,Ong,87,0.944089184,0.921257269,2,5581,8698,IRRIGATED,2021,0
690.0242369,8,Class1,31,236,324,26,0.043937358,0.424790395,204,Ong,88,0.908927857,0.908008313,2,5740,9113,IRRIGATED,2021,1
638.9892802,7.4,Class4,34,271,340,36,0.043937358,0.424790395,230,Ong,100,0.935734195,0.923034938,2,7065,9783,IRRIGATED,2021,1
5823.995509,46.8,Paddy,2,222,280,24,0.04234814,0.474102837,194,Ong,118,0.944324078,0.931576905,2,6356,8853,IRRIGATED,2022,0
293.0507218,2.4,Class1,31,238,296,22,0.04234814,0.474102837,211,Ong,118,0.920302242,0.89486402,2,6625,9433,IRRIGATED,2022,0
1066.012757,8.6,Class4,34,285,364,33,0.04234814,0.474102837,247,Ong,129,0.934225732,0.902899785,2,8147,10511,IRRIGATED,2022,1
4004.621483,30.2,Paddy,2,249,296,42,0.131231891,0.641361065,205,Ong,1106,0.944052553,0.426387603,1,4615,5289,IRRIGATED,2022,0
594.2403955,4.5,Class1,31,265,304,50,0.131231891,0.641361065,213,Ong,1226,0.895048821,0.491476495,1,4874,5340,IRRIGATED,2022,1
