system:index,Area,Crop Type,CropID,ETa,ETaMax,ETblue,ETgreen,Name,Precip,Season,TBP,TBP_P,cropping_intensity,status,year,.geo
1_1_1_1_2_00000000000000000000,6350.02567803415,Paddy,2,497,577,86,406,Ong,1286,4,12137,14876,1.0,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000002,704.8436374586366,Other Irrigated (Less Water Intensive),15,310,370,72,236,Ong,949,4,5633,7744,1.0,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000003,1017.1802596671763,Class1,31,507,603,78,420,Ong,1362,4,11292,14944,1.0,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000001,1618.8684669204872,Other Irrigated (High Water Intensive),14,482,571,177,304,Ong,208,4,3689,4362,2.0,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000004,1372.5328209895863,Class4,34,859,1147,195,653,Ong,1460,4,15669,20782,2.0,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000000,3323.7009541055722,Paddy,2,416,517,51,359,Ong,1163,4,9847,12505,2.0,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000001,1953.9863002114027,Other Irrigated (High Water Intensive),14,477,537,169,306,Ong,173,4,5521,6267,2.0,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000002,732.2503800572628,Other Irrigated (Less Water Intensive),15,345,435,69,272,Ong,350,4,5295,11532,2.0,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000003,1019.7180697980781,Class1,31,535,875,71,452,Ong,1281,4,10837,18161,1.0,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000004,5645.107119976751,Class4,34,839,1059,158,670,Ong,1429,4,15935,20708,4.0,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000000,4042.2027212005096,Paddy,2,453,577,62,403,Ong,1331,4,8724,11716,1.0,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000002,586.9536536252222,Other Irrigated (Less Water Intensive),15,313,347,82,232,Ong,1172,4,4538,6428,1.0,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000003,783.9572786541465,Class1,31,562,763,90,469,Ong,1518,4,9865,13502,1.0,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000001,1876.9554644018278,Other Irrigated (High Water Intensive),14,425,523,186,237,Ong,354,4,4005,4699,2.0,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_2_00000000000000000004,539.5457942380984,Class4,34,888,1131,215,668,Ong,1676,4,13516,18185,2.0,IRRIGATED,2020,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000000,4722.540596759625,Paddy,2,414,505,64,352,Ong,921,4,8705,11832,1.0,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000002,232.9704981136008,Other Irrigated (Less Water Intensive),15,276,381,69,204,Ong,706,4,4859,9743,1.0,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000003,970.6738632395482,Class1,31,461,675,66,388,Ong,975,4,9157,13912,1.0,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000001,1517.1745058692431,Other Irrigated (High Water Intensive),14,471,571,242,228,Ong,193,4,2937,3954,2.0,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_2_00000000000000000004,866.4482269141486,Class4,34,871,1083,260,597,Ong,1242,4,12914,17184,2.0,IRRIGATED,2021,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000000,6400.644249007672,Paddy,2,445,521,49,392,Ong,1164,4,10421,12988,1.0,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000003,754.581742219113,Class1,31,546,811,73,462,Ong,1347,4,11009,15429,1.0,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000002,513.5530526682176,Other Irrigated (Less Water Intensive),15,296,355,73,222,Ong,578,4,4130,8157,2.0,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000004,1736.801281200955,Class4,34,854,1099,192,651,Ong,1404,4,14967,19437,2.0,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
2_00000000000000000001,2505.5986083152156,Other Irrigated (High Water Intensive),14,451,557,203,247,Ong,84,4,3859,4985,2.0,IRRIGATED,2022,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
