system:index,Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,.geo
1_1_1_1_2_0000000000000000000f,892.7517108714209,7.6,Class1,31,287,344,68,0.12617247618179311,0.5272500922718498,217,Ong,1313,0.9009194575577062,0.4232892137282442,1,6243,7324,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000011,1103.4963688442242,9.4,Class4,34,302,358,82,0.12617247618179311,0.5272500922718498,218,Ong,1342,0.9285427444500186,0.4931412338198654,1,6380,7342,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000008,5050.878949659325,43.0,Paddy,2,289,346,71,0.12617247618179311,0.5272500922718498,216,Ong,1265,0.9543526761995411,0.4141999938312242,1,6299,7355,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000018,493.76833263588696,4.7,Class1,31,222,262,23,0.04080242109663999,0.38562955986719827,194,Ong,52,0.910558928164926,0.9089886587713261,2,5782,8449,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_00000000000000000013,5992.479131179917,57.5,Paddy,2,228,272,32,0.04080242109663999,0.38562955986719827,194,Ong,51,0.9544136535200107,0.9178874435806135,2,6299,8955,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_1_2_0000000000000000001a,1027.5862718642234,9.9,Class4,34,263,336,34,0.04080242109663999,0.38562955986719827,224,Ong,57,0.9239357527752267,0.909440582304623,2,7535,10404,IRRIGATED,2018,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000018,3005.3927551380357,23.2,Paddy,2,210,264,25,0.04256236224711699,0.543026314155007,181,Ong,93,0.9366463716363905,0.9330742083197813,2,6266,9047,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000001d,486.043674201804,3.8,Class1,31,223,320,22,0.04256236224711699,0.543026314155007,195,Ong,93,0.925152601270122,0.9025025523140441,2,6349,9465,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000001f,4306.167608706916,33.3,Class4,34,266,334,34,0.04256236224711699,0.543026314155007,227,Ong,98,0.9284986999834239,0.8536542845789447,2,7819,10165,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_0000000000000000000d,2055.488662774832,15.4,Paddy,2,238,318,47,0.19330612213185466,0.8913611458830403,188,Ong,1140,0.9349388351948522,0.32583569244909205,1,4178,5505,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
1_1_1_2_00000000000000000014,804.6481968171756,6.0,Class1,31,235,296,45,0.19330612213185466,0.8913611458830403,187,Ong,1172,0.9192753621169459,0.3523279721721172,1,4175,5169,IRRIGATED,2019,"{""type"":""Point"",""coordinates"":[72.0,-40.0]}"
